latitude;longitude;alt;dist_town;dist_coast;area;rain;economy;agriculture;anomalies_t_print_NW;anomalies_print_NE;anomalies_hiv_SW;anomalies_hiv_SE;p_NW_Europe;p_NE_Europe;NAO
33,07493966;6,081706897;67,75268817;11510,06311;458857,2563;0,107215713;53,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
32,0418789;5,392958669;126,6028818;13465,63107;580093,3938;4,192808604;46,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,54521723;-0,567789138;96,70491803;10144,58209;24826,08142;2,433747146;166,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,49591688;-1,245914368;1075,071889;21279,06587;103672,826;17,85504997;172,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,24276856;-0,648098899;455,2282828;9301,990819;64880,16944;0,581316575;159,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
30,87605087;-2,428922647;0;88315,59315;559449,2766;41,86400056;74,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,66697267;-0,606907958;83,10749834;3117,476005;7641,532085;1,778908455;166,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,81698537;5,956614788;9,4375;6375,522671;3030,647943;0,108346489;264,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,39078445;7,326683839;1061,687382;12991,82388;208979,948;3,729901827;324,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,77540285;6,829913358;823,0074214;23991,13694;153786,7425;73,18283402;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,69858045;7,135689591;831,0019108;24647,72009;165427,8802;325,1828948;255,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,96028804;7,289231671;1,304232804;13964,86883;6114,217791;1,800036203;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,9734944;7,275640504;1,186631944;15903,52103;3896,879013;1,380280834;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,19982232;7,653181933;830,7142857;15936,65774;92286,87142;0,005567682;325;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,86451529;7,261156784;7,625;3463,448442;12788,15741;1,350926444;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,80235435;5,914172458;12,31935484;4695,818658;3619,791311;0,367798162;264,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,54062553;-0,806757347;80,38280123;11266,43624;25495,6265;2,147758382;166,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
